#TGICL_NAME	CONTIG_NAME
CL1277Contig1	HCGP-CT-CO_00356
CL1278Contig1	HCGP-CT-CO_00357
CL1279Contig1	HCGP-CT-CO_00358
CL127Contig1	HCGP-CT-CO_00359
CL1280Contig1	HCGP-CT-CO_00360
CL1281Contig1	HCGP-CT-CO_00361
CL1282Contig1	HCGP-CT-CO_00362
CL1282Contig2	HCGP-CT-CO_00363
CL1283Contig1	HCGP-CT-CO_00364
CL1284Contig1	HCGP-CT-CO_00365
CL1285Contig1	HCGP-CT-CO_00366
CL1286Contig1	HCGP-CT-CO_00367
CL1287Contig1	HCGP-CT-CO_00368
CL1288Contig1	HCGP-CT-CO_00369
CL1289Contig1	HCGP-CT-CO_00370
CL128Contig1	HCGP-CT-CO_00371
CL128Contig2	HCGP-CT-CO_00372
CL1290Contig1	HCGP-CT-CO_00373
CL1291Contig1	HCGP-CT-CO_00374
CL1292Contig1	HCGP-CT-CO_00375
CL1293Contig1	HCGP-CT-CO_00376
CL1294Contig1	HCGP-CT-CO_00377
CL1295Contig1	HCGP-CT-CO_00378
CL1296Contig1	HCGP-CT-CO_00379
CL1296Contig2	HCGP-CT-CO_00380
CL1297Contig1	HCGP-CT-CO_00381
CL1298Contig1	HCGP-CT-CO_00382
CL129Contig1	HCGP-CT-CO_00383
CL129Contig2	HCGP-CT-CO_00384
CL129Contig3	HCGP-CT-CO_00385
CL12Contig1	HCGP-CT-CO_00386
CL12Contig2	HCGP-CT-CO_00387
CL12Contig3	HCGP-CT-CO_00388
CL12Contig6	HCGP-CT-CO_00389
CL12Contig7	HCGP-CT-CO_00390
CL1300Contig1	HCGP-CT-CO_00391
CL1301Contig1	HCGP-CT-CO_00392
CL1302Contig1	HCGP-CT-CO_00393
CL1303Contig1	HCGP-CT-CO_00394
CL1304Contig1	HCGP-CT-CO_00395
CL1305Contig1	HCGP-CT-CO_00396
CL1306Contig1	HCGP-CT-CO_00397
CL1307Contig1	HCGP-CT-CO_00398
CL1307Contig2	HCGP-CT-CO_00399
CL1308Contig1	HCGP-CT-CO_00400
CL1309Contig1	HCGP-CT-CO_00401
CL130Contig1	HCGP-CT-CO_00402
CL1310Contig1	HCGP-CT-CO_00403
CL1311Contig1	HCGP-CT-CO_00404
CL1312Contig1	HCGP-CT-CO_00405
CL1313Contig1	HCGP-CT-CO_00406
CL1314Contig1	HCGP-CT-CO_00407
CL1315Contig1	HCGP-CT-CO_00408
CL1316Contig1	HCGP-CT-CO_00409
CL1317Contig1	HCGP-CT-CO_00410
CL1317Contig2	HCGP-CT-CO_00411
CL1318Contig1	HCGP-CT-CO_00412
CL1319Contig1	HCGP-CT-CO_00413
CL131Contig1	HCGP-CT-CO_00414
CL131Contig2	HCGP-CT-CO_00415
CL131Contig3	HCGP-CT-CO_00416
CL1320Contig1	HCGP-CT-CO_00417
CL1321Contig1	HCGP-CT-CO_00418
CL1322Contig1	HCGP-CT-CO_00419
CL1323Contig1	HCGP-CT-CO_00420
CL1323Contig2	HCGP-CT-CO_00421
CL1324Contig1	HCGP-CT-CO_00422
CL1325Contig1	HCGP-CT-CO_00423
CL1326Contig1	HCGP-CT-CO_00424
CL1327Contig1	HCGP-CT-CO_00425
CL1327Contig2	HCGP-CT-CO_00426
CL1328Contig1	HCGP-CT-CO_00427
CL132Contig1	HCGP-CT-CO_00428
CL1330Contig1	HCGP-CT-CO_00429
CL1331Contig1	HCGP-CT-CO_00430
CL1332Contig1	HCGP-CT-CO_00431
CL1333Contig1	HCGP-CT-CO_00432
CL1334Contig1	HCGP-CT-CO_00433
CL1335Contig1	HCGP-CT-CO_00434
CL1336Contig1	HCGP-CT-CO_00435
CL1337Contig1	HCGP-CT-CO_00436
CL1338Contig1	HCGP-CT-CO_00437
CL1339Contig1	HCGP-CT-CO_00438
CL133Contig1	HCGP-CT-CO_00439
CL133Contig2	HCGP-CT-CO_00440
CL133Contig3	HCGP-CT-CO_00441
CL133Contig4	HCGP-CT-CO_00442
CL1340Contig1	HCGP-CT-CO_00443
CL1341Contig1	HCGP-CT-CO_00444
CL1341Contig2	HCGP-CT-CO_00445
CL1342Contig1	HCGP-CT-CO_00446
CL1343Contig1	HCGP-CT-CO_00447
CL1344Contig1	HCGP-CT-CO_00448
CL1345Contig1	HCGP-CT-CO_00449
CL1346Contig1	HCGP-CT-CO_00450
CL1347Contig1	HCGP-CT-CO_00451
CL1348Contig1	HCGP-CT-CO_00452
CL1349Contig1	HCGP-CT-CO_00453
CL134Contig2	HCGP-CT-CO_00454
CL1350Contig1	HCGP-CT-CO_00455
CL1351Contig1	HCGP-CT-CO_00456
CL1352Contig1	HCGP-CT-CO_00457
CL1353Contig1	HCGP-CT-CO_00458
CL1354Contig1	HCGP-CT-CO_00459
CL1355Contig1	HCGP-CT-CO_00460
CL1356Contig1	HCGP-CT-CO_00461
CL1357Contig1	HCGP-CT-CO_00462
CL1357Contig2	HCGP-CT-CO_00463
CL1358Contig1	HCGP-CT-CO_00464
CL1359Contig1	HCGP-CT-CO_00465
CL135Contig1	HCGP-CT-CO_00466
CL1360Contig1	HCGP-CT-CO_00467
CL1361Contig1	HCGP-CT-CO_00468
CL1361Contig2	HCGP-CT-CO_00469
CL1362Contig1	HCGP-CT-CO_00470
CL1363Contig1	HCGP-CT-CO_00471
CL1363Contig2	HCGP-CT-CO_00472
CL1364Contig1	HCGP-CT-CO_00473
CL1364Contig2	HCGP-CT-CO_00474
CL1365Contig1	HCGP-CT-CO_00475
CL1366Contig1	HCGP-CT-CO_00476
CL1366Contig2	HCGP-CT-CO_00477
CL1367Contig1	HCGP-CT-CO_00478
CL1368Contig1	HCGP-CT-CO_00479
CL1368Contig2	HCGP-CT-CO_00480
CL1369Contig1	HCGP-CT-CO_00481
CL136Contig1	HCGP-CT-CO_00482
CL1370Contig1	HCGP-CT-CO_00483
CL1371Contig1	HCGP-CT-CO_00484
CL1372Contig1	HCGP-CT-CO_00485
CL1373Contig1	HCGP-CT-CO_00486
CL1374Contig1	HCGP-CT-CO_00487
CL1375Contig1	HCGP-CT-CO_00488
CL1376Contig1	HCGP-CT-CO_00489
CL1376Contig2	HCGP-CT-CO_00490
CL1377Contig1	HCGP-CT-CO_00491
CL1379Contig1	HCGP-CT-CO_00492
CL137Contig1	HCGP-CT-CO_00493
CL137Contig2	HCGP-CT-CO_00494
CL1380Contig1	HCGP-CT-CO_00495
CL1381Contig1	HCGP-CT-CO_00496
CL1382Contig1	HCGP-CT-CO_00497
CL1382Contig2	HCGP-CT-CO_00498
CL1383Contig1	HCGP-CT-CO_00499
CL1384Contig1	HCGP-CT-CO_00500
CL1385Contig1	HCGP-CT-CO_00501
CL1386Contig1	HCGP-CT-CO_00502
CL1387Contig1	HCGP-CT-CO_00503
CL1388Contig1	HCGP-CT-CO_00504
CL138Contig1	HCGP-CT-CO_00505
CL138Contig2	HCGP-CT-CO_00506
CL138Contig3	HCGP-CT-CO_00507
CL138Contig4	HCGP-CT-CO_00508
CL1390Contig1	HCGP-CT-CO_00509
CL1391Contig1	HCGP-CT-CO_00510
CL1392Contig1	HCGP-CT-CO_00511
CL1393Contig1	HCGP-CT-CO_00512
CL1394Contig1	HCGP-CT-CO_00513
CL1395Contig1	HCGP-CT-CO_00514
CL1396Contig1	HCGP-CT-CO_00515
CL1397Contig1	HCGP-CT-CO_00516
CL1398Contig1	HCGP-CT-CO_00517
CL1399Contig1	HCGP-CT-CO_00518
CL139Contig1	HCGP-CT-CO_00519
CL13Contig1	HCGP-CT-CO_00520
CL13Contig2	HCGP-CT-CO_00521
CL1401Contig1	HCGP-CT-CO_00522
CL1402Contig1	HCGP-CT-CO_00523
CL1403Contig1	HCGP-CT-CO_00524
CL1404Contig1	HCGP-CT-CO_00525
CL1405Contig1	HCGP-CT-CO_00526
CL1406Contig1	HCGP-CT-CO_00527
CL1407Contig1	HCGP-CT-CO_00528
CL1408Contig1	HCGP-CT-CO_00529
CL1409Contig1	HCGP-CT-CO_00530
CL140Contig1	HCGP-CT-CO_00531
CL140Contig2	HCGP-CT-CO_00532
