#TGICL_NAME	CONTIG_NAME
CL1542Contig1	HCGP-EN-CO_00568
CL1543Contig1	HCGP-EN-CO_00569
CL1544Contig1	HCGP-EN-CO_00570
CL1545Contig1	HCGP-EN-CO_00571
CL1546Contig1	HCGP-EN-CO_00572
CL1547Contig1	HCGP-EN-CO_00573
CL1548Contig1	HCGP-EN-CO_00574
CL1549Contig1	HCGP-EN-CO_00575
CL154Contig1	HCGP-EN-CO_00576
CL1550Contig1	HCGP-EN-CO_00577
CL1551Contig1	HCGP-EN-CO_00578
CL1552Contig1	HCGP-EN-CO_00579
CL1553Contig1	HCGP-EN-CO_00580
CL1554Contig1	HCGP-EN-CO_00581
CL1555Contig1	HCGP-EN-CO_00582
CL1556Contig1	HCGP-EN-CO_00583
CL1557Contig1	HCGP-EN-CO_00584
CL1558Contig1	HCGP-EN-CO_00585
CL1559Contig1	HCGP-EN-CO_00586
CL155Contig1	HCGP-EN-CO_00587
CL1560Contig1	HCGP-EN-CO_00588
CL1561Contig1	HCGP-EN-CO_00589
CL1562Contig1	HCGP-EN-CO_00590
CL1563Contig1	HCGP-EN-CO_00591
CL1564Contig1	HCGP-EN-CO_00592
CL1565Contig1	HCGP-EN-CO_00593
CL1566Contig1	HCGP-EN-CO_00594
CL1567Contig1	HCGP-EN-CO_00595
CL1568Contig1	HCGP-EN-CO_00596
CL1569Contig1	HCGP-EN-CO_00597
CL156Contig1	HCGP-EN-CO_00598
CL1570Contig1	HCGP-EN-CO_00599
CL1572Contig1	HCGP-EN-CO_00600
CL1573Contig1	HCGP-EN-CO_00601
CL1574Contig1	HCGP-EN-CO_00602
CL1575Contig1	HCGP-EN-CO_00603
CL1576Contig1	HCGP-EN-CO_00604
CL1577Contig1	HCGP-EN-CO_00605
CL1578Contig1	HCGP-EN-CO_00606
CL1579Contig1	HCGP-EN-CO_00607
