#TGICL_NAME	CONTIG_NAME
CL10439Contig1	HCGP-HT-CO_00469
CL1043Contig1	HCGP-HT-CO_00470
CL10440Contig1	HCGP-HT-CO_00471
CL10441Contig1	HCGP-HT-CO_00472
CL10442Contig1	HCGP-HT-CO_00473
CL10443Contig1	HCGP-HT-CO_00474
CL10444Contig1	HCGP-HT-CO_00475
CL10445Contig1	HCGP-HT-CO_00476
CL10446Contig1	HCGP-HT-CO_00477
CL10447Contig1	HCGP-HT-CO_00478
CL10448Contig1	HCGP-HT-CO_00479
CL10449Contig1	HCGP-HT-CO_00480
CL1044Contig1	HCGP-HT-CO_00481
CL10450Contig1	HCGP-HT-CO_00482
CL10451Contig1	HCGP-HT-CO_00483
CL10453Contig1	HCGP-HT-CO_00484
CL10454Contig1	HCGP-HT-CO_00485
CL10455Contig1	HCGP-HT-CO_00486
CL10456Contig1	HCGP-HT-CO_00487
CL10457Contig1	HCGP-HT-CO_00488
CL10458Contig1	HCGP-HT-CO_00489
CL1045Contig1	HCGP-HT-CO_00490
CL10460Contig1	HCGP-HT-CO_00491
CL10461Contig1	HCGP-HT-CO_00492
CL10464Contig1	HCGP-HT-CO_00493
CL10465Contig1	HCGP-HT-CO_00494
CL10466Contig1	HCGP-HT-CO_00495
CL10467Contig1	HCGP-HT-CO_00496
CL10468Contig1	HCGP-HT-CO_00497
CL10469Contig1	HCGP-HT-CO_00498
CL1046Contig1	HCGP-HT-CO_00499
CL10470Contig1	HCGP-HT-CO_00500
CL10471Contig1	HCGP-HT-CO_00501
CL10472Contig1	HCGP-HT-CO_00502
CL10473Contig1	HCGP-HT-CO_00503
CL10474Contig1	HCGP-HT-CO_00504
CL10475Contig1	HCGP-HT-CO_00505
CL10476Contig1	HCGP-HT-CO_00506
CL10477Contig1	HCGP-HT-CO_00507
CL10478Contig1	HCGP-HT-CO_00508
CL10479Contig1	HCGP-HT-CO_00509
CL1047Contig1	HCGP-HT-CO_00510
CL10481Contig1	HCGP-HT-CO_00511
CL10482Contig1	HCGP-HT-CO_00512
CL10483Contig1	HCGP-HT-CO_00513
CL10484Contig1	HCGP-HT-CO_00514
CL10486Contig1	HCGP-HT-CO_00515
CL10487Contig1	HCGP-HT-CO_00516
CL10488Contig1	HCGP-HT-CO_00517
CL10489Contig1	HCGP-HT-CO_00518
CL1048Contig1	HCGP-HT-CO_00519
CL10490Contig1	HCGP-HT-CO_00520
CL10492Contig1	HCGP-HT-CO_00521
CL10493Contig1	HCGP-HT-CO_00522
CL10494Contig1	HCGP-HT-CO_00523
CL10495Contig1	HCGP-HT-CO_00524
CL10496Contig1	HCGP-HT-CO_00525
CL10497Contig1	HCGP-HT-CO_00526
CL10498Contig1	HCGP-HT-CO_00527
CL10499Contig1	HCGP-HT-CO_00528
CL1049Contig1	HCGP-HT-CO_00529
CL1049Contig2	HCGP-HT-CO_00530
CL104Contig1	HCGP-HT-CO_00531
CL10500Contig1	HCGP-HT-CO_00532
CL10501Contig1	HCGP-HT-CO_00533
CL10502Contig1	HCGP-HT-CO_00534
CL10503Contig1	HCGP-HT-CO_00535
CL10504Contig1	HCGP-HT-CO_00536
CL10505Contig1	HCGP-HT-CO_00537
CL10506Contig1	HCGP-HT-CO_00538
CL10507Contig1	HCGP-HT-CO_00539
CL10508Contig1	HCGP-HT-CO_00540
CL10509Contig1	HCGP-HT-CO_00541
CL1050Contig1	HCGP-HT-CO_00542
CL10510Contig1	HCGP-HT-CO_00543
CL10511Contig1	HCGP-HT-CO_00544
CL10512Contig1	HCGP-HT-CO_00545
CL10513Contig1	HCGP-HT-CO_00546
CL10514Contig1	HCGP-HT-CO_00547
CL10515Contig1	HCGP-HT-CO_00548
CL10516Contig1	HCGP-HT-CO_00549
CL10517Contig1	HCGP-HT-CO_00550
CL10518Contig1	HCGP-HT-CO_00551
CL10519Contig1	HCGP-HT-CO_00552
CL1051Contig1	HCGP-HT-CO_00553
CL10520Contig1	HCGP-HT-CO_00554
CL10521Contig1	HCGP-HT-CO_00555
CL10522Contig1	HCGP-HT-CO_00556
CL10523Contig1	HCGP-HT-CO_00557
CL10524Contig1	HCGP-HT-CO_00558
CL10525Contig1	HCGP-HT-CO_00559
CL10526Contig1	HCGP-HT-CO_00560
CL10527Contig1	HCGP-HT-CO_00561
CL10528Contig1	HCGP-HT-CO_00562
CL10529Contig1	HCGP-HT-CO_00563
CL1052Contig1	HCGP-HT-CO_00564
CL10530Contig1	HCGP-HT-CO_00565
CL10531Contig1	HCGP-HT-CO_00566
CL10532Contig1	HCGP-HT-CO_00567
CL10533Contig1	HCGP-HT-CO_00568
CL10534Contig1	HCGP-HT-CO_00569
CL10535Contig1	HCGP-HT-CO_00570
CL10537Contig1	HCGP-HT-CO_00571
CL10538Contig1	HCGP-HT-CO_00572
CL10539Contig1	HCGP-HT-CO_00573
CL1053Contig1	HCGP-HT-CO_00574
CL10540Contig1	HCGP-HT-CO_00575
CL10541Contig1	HCGP-HT-CO_00576
CL10542Contig1	HCGP-HT-CO_00577
CL10543Contig1	HCGP-HT-CO_00578
CL10544Contig1	HCGP-HT-CO_00579
CL10545Contig1	HCGP-HT-CO_00580
CL10546Contig1	HCGP-HT-CO_00581
CL10547Contig1	HCGP-HT-CO_00582
CL10548Contig1	HCGP-HT-CO_00583
CL10549Contig1	HCGP-HT-CO_00584
CL1054Contig1	HCGP-HT-CO_00585
CL10550Contig1	HCGP-HT-CO_00586
CL10551Contig1	HCGP-HT-CO_00587
CL10552Contig1	HCGP-HT-CO_00588
CL10553Contig1	HCGP-HT-CO_00589
CL10554Contig1	HCGP-HT-CO_00590
CL10555Contig1	HCGP-HT-CO_00591
CL10556Contig1	HCGP-HT-CO_00592
CL10557Contig1	HCGP-HT-CO_00593
CL10559Contig1	HCGP-HT-CO_00594
CL1055Contig1	HCGP-HT-CO_00595
CL10561Contig1	HCGP-HT-CO_00596
CL10562Contig1	HCGP-HT-CO_00597
CL10563Contig1	HCGP-HT-CO_00598
CL10564Contig1	HCGP-HT-CO_00599
CL10565Contig1	HCGP-HT-CO_00600
CL10566Contig1	HCGP-HT-CO_00601
CL10567Contig1	HCGP-HT-CO_00602
CL10568Contig1	HCGP-HT-CO_00603
CL10569Contig1	HCGP-HT-CO_00604
