#TGICL_NAME	CONTIG_NAME
CL371Contig1	HCGP-HN-CO_00430
CL372Contig1	HCGP-HN-CO_00431
CL373Contig1	HCGP-HN-CO_00432
CL374Contig1	HCGP-HN-CO_00433
CL375Contig1	HCGP-HN-CO_00434
CL376Contig1	HCGP-HN-CO_00435
CL377Contig1	HCGP-HN-CO_00436
CL378Contig1	HCGP-HN-CO_00437
CL379Contig1	HCGP-HN-CO_00438
CL37Contig1	HCGP-HN-CO_00439
CL380Contig1	HCGP-HN-CO_00440
CL381Contig1	HCGP-HN-CO_00441
CL382Contig1	HCGP-HN-CO_00442
CL383Contig1	HCGP-HN-CO_00443
CL384Contig1	HCGP-HN-CO_00444
CL385Contig1	HCGP-HN-CO_00445
CL386Contig1	HCGP-HN-CO_00446
CL387Contig1	HCGP-HN-CO_00447
CL388Contig1	HCGP-HN-CO_00448
CL38Contig1	HCGP-HN-CO_00449
CL390Contig1	HCGP-HN-CO_00450
CL391Contig1	HCGP-HN-CO_00451
CL392Contig1	HCGP-HN-CO_00452
CL393Contig1	HCGP-HN-CO_00453
CL394Contig1	HCGP-HN-CO_00454
CL396Contig1	HCGP-HN-CO_00455
CL397Contig1	HCGP-HN-CO_00456
CL398Contig1	HCGP-HN-CO_00457
CL399Contig1	HCGP-HN-CO_00458
CL39Contig1	HCGP-HN-CO_00459
CL3Contig1	HCGP-HN-CO_00460
CL3Contig2	HCGP-HN-CO_00461
CL3Contig3	HCGP-HN-CO_00462
CL3Contig4	HCGP-HN-CO_00463
CL3Contig5	HCGP-HN-CO_00464
CL3Contig6	HCGP-HN-CO_00465
CL400Contig1	HCGP-HN-CO_00466
CL401Contig1	HCGP-HN-CO_00467
CL402Contig1	HCGP-HN-CO_00468
CL403Contig1	HCGP-HN-CO_00469
CL404Contig1	HCGP-HN-CO_00470
CL405Contig1	HCGP-HN-CO_00471
CL406Contig1	HCGP-HN-CO_00472
CL407Contig1	HCGP-HN-CO_00473
CL408Contig1	HCGP-HN-CO_00474
CL409Contig1	HCGP-HN-CO_00475
CL40Contig1	HCGP-HN-CO_00476
CL40Contig2	HCGP-HN-CO_00477
CL410Contig1	HCGP-HN-CO_00478
CL411Contig1	HCGP-HN-CO_00479
CL412Contig1	HCGP-HN-CO_00480
CL413Contig1	HCGP-HN-CO_00481
CL414Contig1	HCGP-HN-CO_00482
CL415Contig1	HCGP-HN-CO_00483
CL416Contig1	HCGP-HN-CO_00484
CL417Contig1	HCGP-HN-CO_00485
CL418Contig1	HCGP-HN-CO_00486
CL419Contig1	HCGP-HN-CO_00487
CL41Contig1	HCGP-HN-CO_00488
CL41Contig2	HCGP-HN-CO_00489
CL420Contig1	HCGP-HN-CO_00490
CL421Contig1	HCGP-HN-CO_00491
CL422Contig1	HCGP-HN-CO_00492
CL423Contig1	HCGP-HN-CO_00493
CL424Contig1	HCGP-HN-CO_00494
