#TGICL_NAME	CONTIG_NAME
CL182Contig1	HCGP-CN-CO_00417
CL183Contig1	HCGP-CN-CO_00418
CL184Contig1	HCGP-CN-CO_00419
CL185Contig1	HCGP-CN-CO_00420
CL186Contig1	HCGP-CN-CO_00421
CL187Contig1	HCGP-CN-CO_00422
CL189Contig1	HCGP-CN-CO_00423
CL18Contig1	HCGP-CN-CO_00424
CL190Contig1	HCGP-CN-CO_00425
CL191Contig1	HCGP-CN-CO_00426
CL192Contig1	HCGP-CN-CO_00427
CL193Contig1	HCGP-CN-CO_00428
CL194Contig1	HCGP-CN-CO_00429
CL195Contig1	HCGP-CN-CO_00430
CL196Contig1	HCGP-CN-CO_00431
CL197Contig1	HCGP-CN-CO_00432
CL198Contig1	HCGP-CN-CO_00433
CL199Contig1	HCGP-CN-CO_00434
CL19Contig2	HCGP-CN-CO_00435
CL19Contig3	HCGP-CN-CO_00436
CL19Contig4	HCGP-CN-CO_00437
CL1Contig1	HCGP-CN-CO_00438
CL1Contig10	HCGP-CN-CO_00439
CL1Contig11	HCGP-CN-CO_00440
CL1Contig12	HCGP-CN-CO_00441
CL1Contig13	HCGP-CN-CO_00442
CL1Contig14	HCGP-CN-CO_00443
CL1Contig15	HCGP-CN-CO_00444
CL1Contig16	HCGP-CN-CO_00445
CL1Contig17	HCGP-CN-CO_00446
CL1Contig18	HCGP-CN-CO_00447
CL1Contig19	HCGP-CN-CO_00448
CL1Contig2	HCGP-CN-CO_00449
CL1Contig20	HCGP-CN-CO_00450
CL1Contig21	HCGP-CN-CO_00451
CL1Contig22	HCGP-CN-CO_00452
CL1Contig23	HCGP-CN-CO_00453
CL1Contig3	HCGP-CN-CO_00454
CL1Contig4	HCGP-CN-CO_00455
CL1Contig5	HCGP-CN-CO_00456
CL1Contig6	HCGP-CN-CO_00457
CL1Contig7	HCGP-CN-CO_00458
CL1Contig8	HCGP-CN-CO_00459
CL1Contig9	HCGP-CN-CO_00460
CL200Contig1	HCGP-CN-CO_00461
CL201Contig1	HCGP-CN-CO_00462
CL202Contig1	HCGP-CN-CO_00463
CL203Contig1	HCGP-CN-CO_00464
CL204Contig1	HCGP-CN-CO_00465
CL205Contig1	HCGP-CN-CO_00466
CL206Contig1	HCGP-CN-CO_00467
CL207Contig1	HCGP-CN-CO_00468
CL208Contig1	HCGP-CN-CO_00469
CL208Contig2	HCGP-CN-CO_00470
CL209Contig1	HCGP-CN-CO_00471
CL20Contig1	HCGP-CN-CO_00472
CL20Contig2	HCGP-CN-CO_00473
CL210Contig1	HCGP-CN-CO_00474
CL211Contig1	HCGP-CN-CO_00475
CL212Contig1	HCGP-CN-CO_00476
CL213Contig1	HCGP-CN-CO_00477
CL214Contig1	HCGP-CN-CO_00478
CL215Contig1	HCGP-CN-CO_00479
CL216Contig1	HCGP-CN-CO_00480
CL217Contig1	HCGP-CN-CO_00481
CL218Contig1	HCGP-CN-CO_00482
CL219Contig1	HCGP-CN-CO_00483
CL21Contig1	HCGP-CN-CO_00484
CL220Contig1	HCGP-CN-CO_00485
CL221Contig1	HCGP-CN-CO_00486
CL222Contig1	HCGP-CN-CO_00487
CL222Contig2	HCGP-CN-CO_00488
CL223Contig1	HCGP-CN-CO_00489
CL224Contig1	HCGP-CN-CO_00490
CL225Contig1	HCGP-CN-CO_00491
CL226Contig1	HCGP-CN-CO_00492
CL227Contig1	HCGP-CN-CO_00493
CL228Contig1	HCGP-CN-CO_00494
CL229Contig1	HCGP-CN-CO_00495
CL22Contig1	HCGP-CN-CO_00496
CL230Contig1	HCGP-CN-CO_00497
CL230Contig2	HCGP-CN-CO_00498
CL231Contig1	HCGP-CN-CO_00499
