#TGICL_NAME	CONTIG_NAME
CL1306Contig1	HCGP-NT-CO_00359
CL1307Contig1	HCGP-NT-CO_00360
CL1308Contig1	HCGP-NT-CO_00361
CL1309Contig1	HCGP-NT-CO_00362
CL130Contig1	HCGP-NT-CO_00363
CL1310Contig1	HCGP-NT-CO_00364
CL1311Contig1	HCGP-NT-CO_00365
CL1312Contig1	HCGP-NT-CO_00366
CL1313Contig1	HCGP-NT-CO_00367
CL1314Contig1	HCGP-NT-CO_00368
CL1315Contig1	HCGP-NT-CO_00369
CL1316Contig1	HCGP-NT-CO_00370
CL1317Contig1	HCGP-NT-CO_00371
CL1318Contig1	HCGP-NT-CO_00372
CL1319Contig1	HCGP-NT-CO_00373
CL131Contig1	HCGP-NT-CO_00374
CL1320Contig1	HCGP-NT-CO_00375
CL1321Contig1	HCGP-NT-CO_00376
CL1322Contig1	HCGP-NT-CO_00377
CL1323Contig1	HCGP-NT-CO_00378
CL1324Contig1	HCGP-NT-CO_00379
CL1325Contig1	HCGP-NT-CO_00380
CL1326Contig1	HCGP-NT-CO_00381
CL1327Contig1	HCGP-NT-CO_00382
CL1328Contig1	HCGP-NT-CO_00383
CL1329Contig1	HCGP-NT-CO_00384
CL132Contig1	HCGP-NT-CO_00385
CL1330Contig1	HCGP-NT-CO_00386
CL1331Contig1	HCGP-NT-CO_00387
CL1332Contig1	HCGP-NT-CO_00388
CL1333Contig1	HCGP-NT-CO_00389
CL1334Contig1	HCGP-NT-CO_00390
CL1335Contig1	HCGP-NT-CO_00391
CL1336Contig1	HCGP-NT-CO_00392
CL1337Contig1	HCGP-NT-CO_00393
CL1338Contig1	HCGP-NT-CO_00394
CL1339Contig1	HCGP-NT-CO_00395
CL133Contig1	HCGP-NT-CO_00396
CL133Contig2	HCGP-NT-CO_00397
CL1340Contig1	HCGP-NT-CO_00398
CL1341Contig1	HCGP-NT-CO_00399
CL1342Contig1	HCGP-NT-CO_00400
CL1343Contig1	HCGP-NT-CO_00401
CL1344Contig1	HCGP-NT-CO_00402
CL1345Contig1	HCGP-NT-CO_00403
CL1346Contig1	HCGP-NT-CO_00404
CL1347Contig1	HCGP-NT-CO_00405
CL1348Contig1	HCGP-NT-CO_00406
CL1349Contig1	HCGP-NT-CO_00407
CL134Contig1	HCGP-NT-CO_00408
CL1350Contig1	HCGP-NT-CO_00409
CL1351Contig1	HCGP-NT-CO_00410
CL1352Contig1	HCGP-NT-CO_00411
CL1353Contig1	HCGP-NT-CO_00412
CL1354Contig1	HCGP-NT-CO_00413
CL1355Contig1	HCGP-NT-CO_00414
CL1356Contig1	HCGP-NT-CO_00415
CL1357Contig1	HCGP-NT-CO_00416
CL1358Contig1	HCGP-NT-CO_00417
CL1359Contig1	HCGP-NT-CO_00418
CL135Contig1	HCGP-NT-CO_00419
CL1360Contig1	HCGP-NT-CO_00420
CL1361Contig1	HCGP-NT-CO_00421
CL1362Contig1	HCGP-NT-CO_00422
CL1364Contig1	HCGP-NT-CO_00423
CL1366Contig1	HCGP-NT-CO_00424
CL1367Contig1	HCGP-NT-CO_00425
CL1368Contig1	HCGP-NT-CO_00426
CL1369Contig1	HCGP-NT-CO_00427
CL136Contig1	HCGP-NT-CO_00428
CL1370Contig1	HCGP-NT-CO_00429
CL1371Contig1	HCGP-NT-CO_00430
CL1372Contig1	HCGP-NT-CO_00431
CL1373Contig1	HCGP-NT-CO_00432
CL1374Contig1	HCGP-NT-CO_00433
CL1375Contig1	HCGP-NT-CO_00434
CL1376Contig1	HCGP-NT-CO_00435
CL1377Contig1	HCGP-NT-CO_00436
CL1378Contig1	HCGP-NT-CO_00437
CL1379Contig1	HCGP-NT-CO_00438
CL137Contig1	HCGP-NT-CO_00439
CL1380Contig1	HCGP-NT-CO_00440
CL1382Contig1	HCGP-NT-CO_00441
CL1383Contig1	HCGP-NT-CO_00442
CL1384Contig1	HCGP-NT-CO_00443
CL1385Contig1	HCGP-NT-CO_00444
CL1386Contig1	HCGP-NT-CO_00445
CL1387Contig1	HCGP-NT-CO_00446
CL1388Contig1	HCGP-NT-CO_00447
CL1389Contig1	HCGP-NT-CO_00448
CL138Contig1	HCGP-NT-CO_00449
CL138Contig2	HCGP-NT-CO_00450
CL1390Contig1	HCGP-NT-CO_00451
CL1391Contig1	HCGP-NT-CO_00452
CL1392Contig1	HCGP-NT-CO_00453
CL1393Contig1	HCGP-NT-CO_00454
CL1394Contig1	HCGP-NT-CO_00455
CL1395Contig1	HCGP-NT-CO_00456
CL1396Contig1	HCGP-NT-CO_00457
CL1397Contig1	HCGP-NT-CO_00458
CL1398Contig1	HCGP-NT-CO_00459
CL1399Contig1	HCGP-NT-CO_00460
CL139Contig1	HCGP-NT-CO_00461
CL13Contig1	HCGP-NT-CO_00462
CL1400Contig1	HCGP-NT-CO_00463
CL1401Contig1	HCGP-NT-CO_00464
CL1402Contig1	HCGP-NT-CO_00465
CL1403Contig1	HCGP-NT-CO_00466
CL1404Contig1	HCGP-NT-CO_00467
CL1405Contig1	HCGP-NT-CO_00468
CL1406Contig1	HCGP-NT-CO_00469
CL1407Contig1	HCGP-NT-CO_00470
CL1408Contig1	HCGP-NT-CO_00471
CL1409Contig1	HCGP-NT-CO_00472
CL140Contig1	HCGP-NT-CO_00473
CL1410Contig1	HCGP-NT-CO_00474
CL1411Contig1	HCGP-NT-CO_00475
CL1412Contig1	HCGP-NT-CO_00476
CL1413Contig1	HCGP-NT-CO_00477
CL1414Contig1	HCGP-NT-CO_00478
CL1415Contig1	HCGP-NT-CO_00479
CL1416Contig1	HCGP-NT-CO_00480
CL1417Contig1	HCGP-NT-CO_00481
CL1418Contig1	HCGP-NT-CO_00482
CL141Contig1	HCGP-NT-CO_00483
CL1420Contig1	HCGP-NT-CO_00484
CL1421Contig1	HCGP-NT-CO_00485
CL1422Contig1	HCGP-NT-CO_00486
CL1423Contig1	HCGP-NT-CO_00487
CL1424Contig1	HCGP-NT-CO_00488
CL1425Contig1	HCGP-NT-CO_00489
CL1426Contig1	HCGP-NT-CO_00490
CL1427Contig1	HCGP-NT-CO_00491
CL1428Contig1	HCGP-NT-CO_00492
CL1429Contig1	HCGP-NT-CO_00493
CL142Contig1	HCGP-NT-CO_00494
CL1430Contig1	HCGP-NT-CO_00495
CL1431Contig1	HCGP-NT-CO_00496
CL1432Contig1	HCGP-NT-CO_00497
CL1433Contig1	HCGP-NT-CO_00498
CL1434Contig1	HCGP-NT-CO_00499
CL1435Contig1	HCGP-NT-CO_00500
CL1436Contig1	HCGP-NT-CO_00501
CL1437Contig1	HCGP-NT-CO_00502
CL1438Contig1	HCGP-NT-CO_00503
CL1439Contig1	HCGP-NT-CO_00504
CL143Contig1	HCGP-NT-CO_00505
CL1440Contig1	HCGP-NT-CO_00506
CL1441Contig1	HCGP-NT-CO_00507
CL1442Contig1	HCGP-NT-CO_00508
CL1443Contig1	HCGP-NT-CO_00509
CL1444Contig1	HCGP-NT-CO_00510
CL1445Contig1	HCGP-NT-CO_00511
CL1446Contig1	HCGP-NT-CO_00512
CL1447Contig1	HCGP-NT-CO_00513
CL1448Contig1	HCGP-NT-CO_00514
CL1449Contig1	HCGP-NT-CO_00515
CL144Contig1	HCGP-NT-CO_00516
CL1450Contig1	HCGP-NT-CO_00517
CL1451Contig1	HCGP-NT-CO_00518
CL1452Contig1	HCGP-NT-CO_00519
CL1453Contig1	HCGP-NT-CO_00520
CL1454Contig1	HCGP-NT-CO_00521
CL1455Contig1	HCGP-NT-CO_00522
