#TGICL_NAME	CONTIG_NAME
CL1444Contig1	HCGP-ET-CO_00444
CL1445Contig1	HCGP-ET-CO_00445
CL1448Contig1	HCGP-ET-CO_00446
CL1449Contig1	HCGP-ET-CO_00447
CL144Contig1	HCGP-ET-CO_00448
CL1450Contig1	HCGP-ET-CO_00449
CL1451Contig1	HCGP-ET-CO_00450
CL1452Contig1	HCGP-ET-CO_00451
CL1453Contig1	HCGP-ET-CO_00452
CL1454Contig1	HCGP-ET-CO_00453
CL1458Contig1	HCGP-ET-CO_00454
CL1459Contig1	HCGP-ET-CO_00455
CL145Contig1	HCGP-ET-CO_00456
CL1460Contig1	HCGP-ET-CO_00457
CL1462Contig1	HCGP-ET-CO_00458
CL1463Contig1	HCGP-ET-CO_00459
CL1464Contig1	HCGP-ET-CO_00460
CL1465Contig1	HCGP-ET-CO_00461
CL1466Contig1	HCGP-ET-CO_00462
CL1467Contig1	HCGP-ET-CO_00463
CL1469Contig1	HCGP-ET-CO_00464
CL146Contig1	HCGP-ET-CO_00465
CL1471Contig1	HCGP-ET-CO_00466
CL1472Contig1	HCGP-ET-CO_00467
CL1473Contig1	HCGP-ET-CO_00468
CL1474Contig1	HCGP-ET-CO_00469
CL1475Contig1	HCGP-ET-CO_00470
CL1476Contig1	HCGP-ET-CO_00471
CL1478Contig1	HCGP-ET-CO_00472
CL1479Contig1	HCGP-ET-CO_00473
CL1480Contig1	HCGP-ET-CO_00474
CL1481Contig1	HCGP-ET-CO_00475
CL1482Contig1	HCGP-ET-CO_00476
CL1483Contig1	HCGP-ET-CO_00477
CL1484Contig1	HCGP-ET-CO_00478
CL1486Contig1	HCGP-ET-CO_00479
CL1487Contig1	HCGP-ET-CO_00480
CL148Contig1	HCGP-ET-CO_00481
CL148Contig2	HCGP-ET-CO_00482
CL1493Contig1	HCGP-ET-CO_00483
CL1494Contig1	HCGP-ET-CO_00484
CL1495Contig1	HCGP-ET-CO_00485
CL1496Contig1	HCGP-ET-CO_00486
CL1498Contig1	HCGP-ET-CO_00487
CL1499Contig1	HCGP-ET-CO_00488
CL149Contig1	HCGP-ET-CO_00489
CL14Contig1	HCGP-ET-CO_00490
CL1500Contig1	HCGP-ET-CO_00491
CL1501Contig1	HCGP-ET-CO_00492
CL1502Contig1	HCGP-ET-CO_00493
CL1503Contig1	HCGP-ET-CO_00494
CL1504Contig1	HCGP-ET-CO_00495
CL1506Contig1	HCGP-ET-CO_00496
CL1507Contig1	HCGP-ET-CO_00497
CL150Contig1	HCGP-ET-CO_00498
CL1511Contig1	HCGP-ET-CO_00499
CL1513Contig1	HCGP-ET-CO_00500
CL1515Contig1	HCGP-ET-CO_00501
CL1516Contig1	HCGP-ET-CO_00502
CL1517Contig1	HCGP-ET-CO_00503
CL1518Contig1	HCGP-ET-CO_00504
CL1519Contig1	HCGP-ET-CO_00505
CL151Contig1	HCGP-ET-CO_00506
CL151Contig2	HCGP-ET-CO_00507
CL1521Contig1	HCGP-ET-CO_00508
CL1522Contig1	HCGP-ET-CO_00509
CL1523Contig1	HCGP-ET-CO_00510
CL1524Contig1	HCGP-ET-CO_00511
CL1526Contig1	HCGP-ET-CO_00512
CL1528Contig1	HCGP-ET-CO_00513
CL1529Contig1	HCGP-ET-CO_00514
CL152Contig1	HCGP-ET-CO_00515
CL1530Contig1	HCGP-ET-CO_00516
CL1531Contig1	HCGP-ET-CO_00517
CL1532Contig1	HCGP-ET-CO_00518
CL1533Contig1	HCGP-ET-CO_00519
CL1534Contig1	HCGP-ET-CO_00520
CL1536Contig1	HCGP-ET-CO_00521
CL1537Contig1	HCGP-ET-CO_00522
CL1538Contig1	HCGP-ET-CO_00523
CL1539Contig1	HCGP-ET-CO_00524
CL153Contig1	HCGP-ET-CO_00525
CL153Contig2	HCGP-ET-CO_00526
CL1540Contig1	HCGP-ET-CO_00527
CL1541Contig1	HCGP-ET-CO_00528
CL1543Contig1	HCGP-ET-CO_00529
CL1544Contig1	HCGP-ET-CO_00530
CL1545Contig1	HCGP-ET-CO_00531
CL1546Contig1	HCGP-ET-CO_00532
CL1547Contig1	HCGP-ET-CO_00533
CL1548Contig1	HCGP-ET-CO_00534
CL1549Contig1	HCGP-ET-CO_00535
CL154Contig1	HCGP-ET-CO_00536
CL1550Contig1	HCGP-ET-CO_00537
CL1552Contig1	HCGP-ET-CO_00538
CL1553Contig1	HCGP-ET-CO_00539
CL1554Contig1	HCGP-ET-CO_00540
CL1555Contig1	HCGP-ET-CO_00541
CL1556Contig1	HCGP-ET-CO_00542
CL1557Contig1	HCGP-ET-CO_00543
CL1558Contig1	HCGP-ET-CO_00544
CL1559Contig1	HCGP-ET-CO_00545
CL155Contig1	HCGP-ET-CO_00546
CL1561Contig1	HCGP-ET-CO_00547
CL1563Contig1	HCGP-ET-CO_00548
CL1565Contig1	HCGP-ET-CO_00549
CL1567Contig1	HCGP-ET-CO_00550
CL1568Contig1	HCGP-ET-CO_00551
CL1569Contig1	HCGP-ET-CO_00552
CL156Contig1	HCGP-ET-CO_00553
CL1570Contig1	HCGP-ET-CO_00554
CL1571Contig1	HCGP-ET-CO_00555
CL1573Contig1	HCGP-ET-CO_00556
CL1574Contig1	HCGP-ET-CO_00557
CL1575Contig1	HCGP-ET-CO_00558
CL1577Contig1	HCGP-ET-CO_00559
CL1578Contig1	HCGP-ET-CO_00560
CL157Contig1	HCGP-ET-CO_00561
CL1580Contig1	HCGP-ET-CO_00562
CL1581Contig1	HCGP-ET-CO_00563
CL1582Contig1	HCGP-ET-CO_00564
CL1583Contig1	HCGP-ET-CO_00565
CL1585Contig1	HCGP-ET-CO_00566
CL1586Contig1	HCGP-ET-CO_00567
CL1587Contig1	HCGP-ET-CO_00568
CL1588Contig1	HCGP-ET-CO_00569
CL1589Contig1	HCGP-ET-CO_00570
CL1590Contig1	HCGP-ET-CO_00571
