#TGICL_NAME	CONTIG_NAME
CL1599Contig1	HCGP-FT-CO_00566
CL159Contig1	HCGP-FT-CO_00567
CL159Contig2	HCGP-FT-CO_00568
CL15Contig1	HCGP-FT-CO_00569
CL1600Contig1	HCGP-FT-CO_00570
CL1601Contig1	HCGP-FT-CO_00571
CL1602Contig1	HCGP-FT-CO_00572
CL1603Contig1	HCGP-FT-CO_00573
CL1604Contig1	HCGP-FT-CO_00574
CL1605Contig1	HCGP-FT-CO_00575
CL1606Contig1	HCGP-FT-CO_00576
CL1608Contig1	HCGP-FT-CO_00577
CL1609Contig1	HCGP-FT-CO_00578
CL160Contig1	HCGP-FT-CO_00579
CL1610Contig1	HCGP-FT-CO_00580
CL1611Contig1	HCGP-FT-CO_00581
CL1612Contig1	HCGP-FT-CO_00582
CL1613Contig1	HCGP-FT-CO_00583
CL1614Contig1	HCGP-FT-CO_00584
CL1615Contig1	HCGP-FT-CO_00585
CL1616Contig1	HCGP-FT-CO_00586
CL1617Contig1	HCGP-FT-CO_00587
CL1618Contig1	HCGP-FT-CO_00588
CL1619Contig1	HCGP-FT-CO_00589
CL161Contig1	HCGP-FT-CO_00590
CL1620Contig1	HCGP-FT-CO_00591
CL1621Contig1	HCGP-FT-CO_00592
CL1622Contig1	HCGP-FT-CO_00593
CL1624Contig1	HCGP-FT-CO_00594
CL1625Contig1	HCGP-FT-CO_00595
CL1626Contig1	HCGP-FT-CO_00596
CL1627Contig1	HCGP-FT-CO_00597
CL1628Contig1	HCGP-FT-CO_00598
CL1629Contig1	HCGP-FT-CO_00599
CL162Contig1	HCGP-FT-CO_00600
CL162Contig2	HCGP-FT-CO_00601
CL1630Contig1	HCGP-FT-CO_00602
CL1631Contig1	HCGP-FT-CO_00603
CL1632Contig1	HCGP-FT-CO_00604
CL1633Contig1	HCGP-FT-CO_00605
CL1634Contig1	HCGP-FT-CO_00606
CL1635Contig1	HCGP-FT-CO_00607
CL1636Contig1	HCGP-FT-CO_00608
